ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,max_air_temp_q,min_air_temp_q,min_grss_temp_q,min_conc_temp_q,max_air_temp_j,min_air_temp_j,min_grss_temp_j,min_conc_temp_j,meto_stmp_time,midas_stmp_etime
2000-01-01 09:00:00,DCNN,2423,12,1,NCM,384,1011,7.5,3.4,-1.6,-1.5,6,6,6,6,NA,NA,NA,NA,2000-01-01 08:55:00,5523.0
2000-01-01 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.3,1.2,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-01 20:55:00,4803.0
2000-01-02 09:00:00,DCNN,2423,12,1,NCM,384,1011,4.8,-0.1,-2.4,-1.9,6,6,6,6,NA,NA,NA,NA,2000-01-02 08:59:00,4079.0
2000-01-02 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.7,3.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-02 20:54:00,3364.0
2000-01-03 09:00:00,DCNN,2423,12,1,NCM,384,1011,10.9,6.1,4.3,4.0,6,6,6,6,NA,NA,NA,NA,2000-01-03 08:54:00,12729.0
2000-01-03 21:00:00,DCNN,2423,12,1,NCM,384,1011,8.4,4.9,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-03 20:56:00,12007.0
2000-01-04 09:00:00,DCNN,2423,12,1,NCM,384,1011,5.3,-0.9,-3.3,-2.7,6,6,6,6,NA,NA,NA,NA,2000-01-04 08:58:00,11285.0
2000-01-04 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.0,0.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-04 20:55:00,10568.0
2000-01-05 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.5,0.7,-2.8,-2.3,6,6,6,6,NA,NA,NA,NA,2000-01-05 09:25:00,9818.0
2000-01-05 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.8,1.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-05 20:58:00,9125.0
2000-01-06 09:00:00,DCNN,2423,12,1,NCM,384,1011,11.6,7.5,4.6,5.0,6,6,6,6,NA,NA,NA,NA,2000-01-06 08:59:00,8405.0
2000-01-06 21:00:00,DCNN,2423,12,1,NCM,384,1011,10.0,2.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-06 20:55:00,7689.0
2000-01-07 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.7,2.7,-1.2,-1.2,6,6,6,6,NA,NA,NA,NA,2000-01-07 08:57:00,6967.0
2000-01-07 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.3,5.8,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-07 21:24:00,6220.0
2000-01-08 09:00:00,DCNN,2423,12,1,NCM,384,1011,9.3,3.2,-0.9,-0.3,6,6,6,6,NA,NA,NA,NA,2000-01-08 09:07:00,5517.0
2000-01-08 21:00:00,DCNN,2423,12,1,NCM,384,1011,7.8,2.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-08 20:58:00,4806.0
2000-01-09 09:00:00,DCNN,2423,12,1,NCM,384,1011,3.0,-0.2,-3.8,-3.2,6,6,6,6,NA,NA,NA,NA,2000-01-09 08:56:00,4088.0
2000-01-09 21:00:00,DCNN,2423,12,1,NCM,384,1011,5.7,0.7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-09 20:56:00,3368.0
2000-01-10 09:00:00,DCNN,2423,12,1,NCM,384,1011,1.7,0.0,-4.1,-3.1,6,6,6,6,NA,NA,NA,NA,2000-01-10 09:01:00,12724.0
2000-01-10 21:00:00,DCNN,2423,12,1,NCM,384,1011,6.1,1.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-10 20:53:00,12012.0
2000-01-11 09:00:00,DCNN,2423,12,1,NCM,384,1011,7.4,5.7,3.2,4.8,6,6,6,6,NA,NA,NA,NA,2000-01-11 08:58:00,11287.0
2000-01-11 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.7,7.0,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-11 20:56:00,10569.0
2000-01-12 09:00:00,DCNN,2423,12,1,NCM,384,1011,8.3,7.2,4.8,4.8,6,6,6,6,NA,NA,NA,NA,2000-01-12 09:05:00,9840.0
2000-01-12 21:00:00,DCNN,2423,12,1,NCM,384,1011,9.0,6.4,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-12 20:56:00,9129.0
2000-01-13 09:00:00,DCNN,2423,12,1,NCM,384,1011,6.7,0.9,1.4,1.4,6,6,6,6,NA,NA,NA,NA,2000-01-13 08:57:00,8408.0
2000-01-13 21:00:00,DCNN,2423,12,1,NCM,384,1011,4.0,0.3,NA,NA,6,6,NA,NA,NA,NA,NA,NA,2000-01-13 20:56:00,7689.0
2000-01-14 09:00:00,DCNN,2423,12,1,NCM,384,1011,1.8,0.1,-3.1,-2.6,6,6,6,6,NA,NA,NA,NA,2000-01-14 09:02:00,6963.0
